companyName,companyCode,date,postPerDay,tradingPerDay
한전산업,130660,2023.02.08,1,0.02
한전산업,130660,2023.02.07,0.44,0.04
한전산업,130660,2023.02.03,0.11,0.02
한전산업,130660,2023.02.02,0.44,0.03
한전산업,130660,2023.02.01,0.22,0.03
한전산업,130660,2023.01.31,0.11,0.01
한전산업,130660,2023.01.30,1,0.05
한전산업,130660,2023.01.27,0.11,0.07
한전산업,130660,2023.01.26,1,0.03
한전산업,130660,2023.01.25,0.11,0.06
한전산업,130660,2023.01.19,0.33,0.06
한전산업,130660,2023.01.18,1,0.03
한전산업,130660,2023.01.17,0.11,0.04
한전산업,130660,2023.01.16,0.67,0.29
한전산업,130660,2023.01.13,0.11,0.12
한전산업,130660,2023.01.12,0.33,0.13
한전산업,130660,2023.01.11,0.22,0.13
한전산업,130660,2023.01.10,0.22,0.14
한전산업,130660,2023.01.09,0.56,0.07
한전산업,130660,2023.01.06,0.44,0.1
한전산업,130660,2023.01.05,0.22,1
한전산업,130660,2023.01.04,0.22,0.05
한전산업,130660,2023.01.03,0.33,0.09
한전산업,130660,2023.01.02,0.67,0.12
한전산업,130660,2022.12.29,0.22,0.07
한전산업,130660,2022.12.28,0.67,0.13
한전산업,130660,2022.12.27,0.56,0.08
한전산업,130660,2022.12.26,0.33,0.06
한전산업,130660,2022.12.23,0.44,0.08
한전산업,130660,2022.12.22,0.22,0.09
한전산업,130660,2022.12.21,0.22,0.06
한전산업,130660,2022.12.20,0.33,0.2
한전산업,130660,2022.12.19,0.11,0.14
한전산업,130660,2022.12.16,1.0,1.0
한전산업,130660,2022.12.15,1.0,0.44
한전산업,130660,2022.12.14,0.44,0.08
한전산업,130660,2022.12.13,0.33,0.16
한전산업,130660,2022.12.12,0.11,0.01
한전산업,130660,2022.12.09,0.22,0.06
한전산업,130660,2022.12.08,1,0.06
한전산업,130660,2022.12.07,1,0.02
한전산업,130660,2022.12.06,1,0.09
한전산업,130660,2022.12.05,1,0.05
한전산업,130660,2022.12.02,0.22,0.07
한전산업,130660,2022.12.01,1,0.07
한전산업,130660,2022.11.30,0.33,0.0
한전산업,130660,2022.11.29,1,0.02
한전산업,130660,2022.11.28,0.22,0.1
한전산업,130660,2022.11.25,0.11,0.06
한전산업,130660,2022.11.24,0.44,0.09
한전산업,130660,2022.11.23,1,0.18
한전산업,130660,2022.11.22,0.89,0.26
한전산업,130660,2022.11.21,0.11,0.14
한전산업,130660,2022.11.18,1,0.24
